episode,success,near_miss,fail,first_pass_success,steps,time_s,capture_time_s,min_dist_m,init_px_m,init_py_m,init_pz_m,init_dist_m,init_bearing_rad
157,0,1,0,0,1251,25.04,nan,1.0306569337844849,179.2911376953125,13.640754699707031,96.59751892089844,204.1138458251953,0.07593529671430588
158,0,1,0,0,1251,25.04,nan,1.0497244596481323,148.70289611816406,18.727373123168945,115.08537292480469,188.96536254882812,0.12527865171432495
159,0,1,0,0,1251,25.04,nan,1.4460643529891968,178.18182373046875,21.276933670043945,88.5586166381836,200.11021423339844,0.11884859949350357
160,1,0,0,0,263,5.28,5.28,0.5146012902259827,160.9183807373047,-4.335577487945557,96.27375030517578,187.56907653808594,-0.02693619392812252
161,0,1,0,0,1251,25.04,nan,1.1972861289978027,123.22138977050781,25.78496551513672,79.96063232421875,149.13778686523438,0.2062806785106659
162,1,0,0,1,271,5.44,5.44,0.25069713592529297,175.40084838867188,-19.788118362426758,113.7263412475586,209.97787475585938,-0.11234155297279358
163,1,0,0,1,243,4.88,4.88,0.5638407468795776,129.7769317626953,0.6393607258796692,100.14562225341797,163.9256134033203,0.004926573019474745
164,1,0,0,1,265,5.32,5.32,0.5616369843482971,169.2235565185547,-14.987181663513184,100.82183837890625,197.55067443847656,-0.08833391964435577
165,1,0,0,1,236,4.74,4.74,0.9059483408927917,142.02821350097656,-17.84299087524414,87.77606964111328,167.9137420654297,-0.12497515976428986
166,1,0,0,1,240,4.82,4.82,0.784569263458252,133.81661987304688,18.837650299072266,97.06672668457031,166.38418579101562,0.13985316455364227
167,1,0,0,1,241,4.84,4.84,0.15344561636447906,122.94506072998047,-27.18394660949707,100.95792388916016,161.3907012939453,-0.21760544180870056
168,1,0,0,1,251,5.04,5.04,0.8647736310958862,161.3522491455078,-6.791020393371582,82.77178192138672,181.4713134765625,-0.04206334054470062
169,0,1,0,0,1251,25.04,nan,1.3216532468795776,163.8766632080078,-36.22328567504883,83.04907989501953,187.25607299804688,-0.21754199266433716
170,0,1,0,0,1251,25.04,nan,1.1210269927978516,170.39927673339844,35.88701629638672,113.19773864746094,207.69573974609375,0.20757201313972473
171,0,1,0,0,1251,25.04,nan,1.0978251695632935,120.16093444824219,20.676910400390625,105.2264633178711,161.0552520751953,0.17040793597698212
172,0,1,0,0,1251,25.04,nan,1.056227207183838,124.48922729492188,28.160438537597656,105.36898803710938,165.5089111328125,0.22246378660202026
173,0,0,1,0,1251,25.04,nan,1.7503024339675903,168.797119140625,37.28267288208008,83.57433319091797,192.00816345214844,0.2173825353384018
174,0,1,0,0,1251,25.04,nan,1.0397063493728638,163.2440185546875,-26.61492156982422,81.25740814208984,184.2816619873047,-0.16161568462848663
175,1,0,0,0,260,5.22,5.22,0.407248854637146,137.07257080078125,-32.09672546386719,107.33271789550781,177.02938842773438,-0.23001448810100555
176,1,0,0,1,251,5.04,5.04,0.6202344298362732,120.852783203125,-28.664653778076172,105.31661224365234,162.84547424316406,-0.23288306593894958
177,1,0,0,1,278,5.58,5.58,0.9217946529388428,178.9263153076172,-9.477839469909668,111.74259185791016,211.1654815673828,-0.05292116850614548
